"","Site","Species","mdC","sdC","mdN","sdN","mdS","sdS","tot"
"1","GTM","Blue crab",-14.55,NA,9.18,NA,10.08,NA,1
"2","GTM","Mud crab",-18.3057142857143,1.14201367684246,9.38714285714286,0.736290574110391,13.4528571428571,1.36968018512491,7
"3","GTM","Oyster",-19.334,1.05991823584023,8.303,0.612953686849359,15.744,0.989480222698317,10
"4","GTM","Pinfish",-19.015,1.32228968081884,9.11,1.34350288425444,10.265,0.134350288425444,2
"5","GTM","White shrimp",-17.744,1.29399639360651,7.32,0.397492138287036,3.168,1.02978746458783,10
"6","NC","Blue crab",-16.1,NA,9.07,NA,10.84,NA,1
"7","NC","Mud crab",-15.4725,2.04736590351045,8.00125,1.74031555020511,14.7775,1.67998086723799,8
"8","NC","Oyster",-18.811,0.228154431130418,7.592,0.427935613017763,16.495,0.616662162145711,10
"9","NC","Pinfish",-16.6355555555556,1.66632913248787,9.29333333333333,1.80784401982029,12.1388888888889,3.50864804605864,9
"10","NI-WB","Blue crab",-15.3,0.840261863944807,10.4290909090909,0.359178355290364,10.6372727272727,2.2602083572498,11
"11","NI-WB","Mud crab",-16.56375,0.513139844486861,9.20875,1.11563482888828,14.97125,0.628068183286769,8
"12","NI-WB","Oyster",-19.084,0.287487197782595,8.194,0.322738284063109,16.729,0.932743265856152,10
"13","NI-WB","Pinfish",-18.275,1.34904287058146,10.839,0.515912352590588,13.241,1.92110760876231,10
"14","NI-WB","White shrimp",-15.989,0.914955372317871,8.894,0.685309338101334,7.015,2.20011237086755,10
"15","SI","Blue crab",-15.954,0.720388783921571,9.627,0.478587040730895,9.953,1.59995868002201,10
"16","SI","Mud crab",-18.674,0.269905333198307,10.419,0.352150535992777,15.093,0.553936418332967,10
"17","SI","Oyster",-20.1522222222222,0.372417030282511,7.42,0.290903764155777,16.0644444444444,0.55249685770851,9
"18","SI","Pinfish",-18.38,1.39656722000769,10.718,0.408487725913793,10.096,1.32911164985406,10
"19","SI","White shrimp",-16.3088888888889,0.492504935113457,8.22555555555556,0.487214303749159,6.82444444444444,1.45506968141659,9
