Site,Species,d13C,d15N,d34S
GTM,Oyster,-19.08,9.02,15.54
GTM,Oyster,-18.19,8.82,16.73
GTM,Oyster,-18.41,8.4,16.95
GTM,Oyster,-20.97,7.32,14.32
GTM,Oyster,-20.35,7.98,14.56
GTM,Oyster,-19.37,8.09,16.22
GTM,Oyster,-20.99,7.4,14.47
GTM,Oyster,-18.47,8.33,16.15
GTM,Oyster,-18.84,8.62,15.81
GTM,Oyster,-18.67,9.05,16.69
GTM,Mud crab,-16.96,10.51,14.71
GTM,Mud crab,-17.25,9.87,14.75
GTM,Mud crab,-19.3,9.4,12.68
GTM,Mud crab,-19.17,8.62,12.37
GTM,Mud crab,-19.28,8.72,12.23
GTM,Mud crab,-19.12,8.7,12.2
GTM,Mud crab,-17.06,9.89,15.23
GTM,White shrimp,-18.6,7.02,2.2
GTM,White shrimp,-16.16,7.45,4.77
GTM,White shrimp,-18.76,7.16,3.3
GTM,White shrimp,-16.53,7.58,4.1
GTM,White shrimp,-15.83,8.23,3.56
GTM,White shrimp,-18.17,7.13,2.5
GTM,White shrimp,-18.7,7.16,2.11
GTM,White shrimp,-16.79,7.51,4.55
GTM,White shrimp,-18.34,6.8,2.32
GTM,White shrimp,-19.56,7.16,2.27
GTM,Blue crab,-14.55,9.18,10.08
GTM,Pinfish,-18.08,10.06,10.17
GTM,Pinfish,-19.95,8.16,10.36
NC,Oyster,-19.08,8.2,17.06
NC,Oyster,-18.83,8.32,16.84
NC,Oyster,-18.87,7.33,15.28
NC,Oyster,-18.88,7.31,16.69
NC,Oyster,-19.14,7.76,17.28
NC,Oyster,-18.61,7.25,15.78
NC,Oyster,-18.52,7.18,16.96
NC,Oyster,-18.77,7.58,16.15
NC,Oyster,-18.45,7.13,16.41
NC,Oyster,-18.96,7.86,16.5
NC,Mud crab,-17.77,9.95,14.76
NC,Mud crab,-15.48,8.97,13.32
NC,Mud crab,-14.81,8.14,11.8
NC,Mud crab,-17.62,9.77,14.43
NC,Mud crab,-15.75,8.25,14.81
NC,Mud crab,-15.86,7.66,17.21
NC,Mud crab,-11.14,4.65,15.92
NC,Mud crab,-15.35,6.62,15.97
NC,Blue crab,-16.1,9.07,10.84
NC,Pinfish,-14.76,6.38,7.12
NC,Pinfish,-17.58,10.45,13.32
NC,Pinfish,-17.8,10.24,15.54
NC,Pinfish,-14.64,6.66,6.66
NC,Pinfish,-17.52,11.07,14.04
NC,Pinfish,-17.5,10.66,13.18
NC,Pinfish,-13.94,7.88,9.25
NC,Pinfish,-18.01,10.13,14.86
NC,Pinfish,-17.97,10.17,15.28
NIWB,Oyster,-18.94,8.3,16.91
NIWB,Oyster,-18.86,8.34,17.31
NIWB,Oyster,-19.24,7.97,16.83
NIWB,Oyster,-18.97,8.4,16.28
NIWB,Oyster,-18.95,7.66,16
NIWB,Oyster,-19.32,8.57,15.49
NIWB,Oyster,-19.78,7.92,15.28
NIWB,Oyster,-18.92,8.54,17.51
NIWB,Oyster,-18.97,8.42,17.8
NIWB,Oyster,-18.89,7.82,17.88
NIWB,Mud crab,-17.2,9.9,15.06
NIWB,Mud crab,-17.09,10.01,13.8
NIWB,Mud crab,-16.09,9.95,14.45
NIWB,Mud crab,-16.45,9.05,15.29
NIWB,Mud crab,-16.78,9.19,15.45
NIWB,Mud crab,-16.84,9.81,15.22
NIWB,Mud crab,-16.37,9.13,14.72
NIWB,Mud crab,-15.69,6.63,15.78
NIWB,White shrimp,-16.09,8.73,6.62
NIWB,White shrimp,-15.3,10.51,8.42
NIWB,White shrimp,-15.59,9.46,7.2
NIWB,White shrimp,-15.96,8.63,10.74
NIWB,White shrimp,-15.59,8.78,8.53
NIWB,White shrimp,-16.65,7.96,5.44
NIWB,White shrimp,-15.89,8.69,9.25
NIWB,White shrimp,-18.28,9.08,4.02
NIWB,White shrimp,-15.25,8.56,5.4
NIWB,White shrimp,-15.29,8.54,4.53
NIWB,Blue crab,-15.06,10.53,9.48
NIWB,Blue crab,-15.73,10.07,9.55
NIWB,Blue crab,-14.15,10.16,9.23
NIWB,Blue crab,-16.61,10.61,14.24
NIWB,Blue crab,-15.03,10.9,9.59
NIWB,Blue crab,-14.77,10.82,9.41
NIWB,Blue crab,-14.85,10.19,8.74
NIWB,Blue crab,-15.38,10.14,8.81
NIWB,Blue crab,-15.41,10.43,12.57
NIWB,Blue crab,-14.44,9.92,10.26
NIWB,Blue crab,-16.87,10.95,15.13
NIWB,Pinfish,-17.79,11.39,13.53
NIWB,Pinfish,-20.13,10.9,15.73
NIWB,Pinfish,-18.35,11.02,13.91
NIWB,Pinfish,-18.92,11.52,14.35
NIWB,Pinfish,-20.63,10.9,14.2
NIWB,Pinfish,-17.57,10.46,11.35
NIWB,Pinfish,-18.36,10.25,13.73
NIWB,Pinfish,-17.35,10.3,12.28
NIWB,Pinfish,-16.06,10.19,8.96
NIWB,Pinfish,-17.59,11.46,14.37
SI,Oyster,-20.3,7.16,15.75
SI,Oyster,-19.63,7.48,16.21
SI,Oyster,-20.25,7.33,16.39
SI,Oyster,-20.82,7.9,15.94
SI,Oyster,-19.77,7.62,16.75
SI,Oyster,-19.95,6.99,16.11
SI,Oyster,-20.14,7.5,15.35
SI,Oyster,-19.98,7.14,16.82
SI,Oyster,-20.53,7.66,15.26
SI,Mud crab,-18.54,10.08,15.77
SI,Mud crab,-18.59,9.69,15.82
SI,Mud crab,-18.97,10.44,15.77
SI,Mud crab,-18.74,10.64,14.38
SI,Mud crab,-18.76,10.53,15.23
