Site,Species,d13C,d15N,d34S
NC,Oyster,-19.08,8.20 ,17.06 
NC,Oyster,-18.83,8.32 ,16.84 
NC,Oyster,-18.87,7.33 ,15.28 
NC,Oyster,-18.88,7.31 ,16.69 
NC,Oyster,-19.14,7.76 ,17.28 
NC,Oyster,-18.61,7.25 ,15.78 
NC,Oyster,-18.52,7.18 ,16.96 
NC,Oyster,-18.77,7.58 ,16.15 
NC,Oyster,-18.45,7.13 ,16.41 
NC,Oyster,-18.96,7.86 ,16.50 
SI,Oyster,-20.30,8.16 ,15.75 
SI,Oyster,-19.63,8.48 ,16.21 
SI,Oyster,-20.25,8.33 ,16.39 
SI,Oyster,-20.82,8.90 ,15.94 
SI,Oyster,-19.77,8.62 ,16.75 
SI,Oyster,-19.95,7.99 ,16.11 
SI,Oyster,-20.14,8.50 ,15.35 
SI,Oyster,-19.98,8.14 ,16.82 
SI,Oyster,-20.53,8.66 ,15.26 
NI-WB,Oyster,-18.94,8.30 ,16.91 
NI-WB,Oyster,-18.86,8.34 ,17.31 
NI-WB,Oyster,-19.24,7.97 ,16.83 
NI-WB,Oyster,-18.97,8.40 ,16.28 
NI-WB,Oyster,-18.95,7.66 ,16.00 
NI-WB,Oyster,-19.32,8.57 ,15.49 
NI-WB,Oyster,-19.78,7.92 ,15.28 
NI-WB,Oyster,-18.92,8.54 ,17.51 
NI-WB,Oyster,-18.97,8.42 ,17.80 
NI-WB,Oyster,-18.89,7.82 ,17.88 
GTM,Oyster,-19.08,9.02 ,15.54 
GTM,Oyster,-18.19,8.82 ,16.73 
GTM,Oyster,-18.41,8.40 ,16.95 
GTM,Oyster,-20.97,7.32 ,14.32 
GTM,Oyster,-20.35,7.98 ,14.56 
GTM,Oyster,-19.37,8.09 ,16.22 
GTM,Oyster,-20.99,7.40 ,14.47 
GTM,Oyster,-18.47,8.33 ,16.15 
GTM,Oyster,-18.84,8.62 ,15.81 
GTM,Oyster,-18.67,9.05 ,16.69 
GTM,Mud crab,-16.96,10.51 ,14.71 
GTM,Mud crab,-17.25,9.87 ,14.75 
GTM,Mud crab,-19.30,9.40 ,12.68 
GTM,Mud crab,-19.17,8.62 ,12.37 
GTM,Mud crab,-19.28,8.72 ,12.23 
GTM,Mud crab,-19.12,8.70 ,12.20 
GTM,Mud crab,-17.06,9.89 ,15.23 
NC,Mud crab,-17.77,9.95 ,14.76 
NC,Mud crab,-15.48,8.97 ,13.32 
NC,Mud crab,-14.81,8.14 ,11.80 
NC,Mud crab,-17.62,9.77 ,14.43 
NC,Mud crab,-15.75,8.25 ,14.81 
NC,Mud crab,-15.86,7.66 ,17.21 
NC,Mud crab,-11.14,4.65 ,15.92 
NC,Mud crab,-15.35,6.62 ,15.97 
NI-WB,Mud crab,-17.20,9.90 ,15.06 
NI-WB,Mud crab,-17.09,10.01 ,13.80 
NI-WB,Mud crab,-16.09,9.95 ,14.45 
NI-WB,Mud crab,-16.45,9.05 ,15.29 
NI-WB,Mud crab,-16.78,9.19 ,15.45 
NI-WB,Mud crab,-16.84,9.81 ,15.22 
NI-WB,Mud crab,-16.37,9.13 ,14.72 
NI-WB,Mud crab,-15.69,6.63 ,15.78 
SI,Mud crab,-18.54,10.08 ,15.77 
SI,Mud crab,-18.59,9.69 ,15.82 
SI,Mud crab,-18.97,10.44 ,15.77 
SI,Mud crab,-18.74,10.64 ,14.38 
SI,Mud crab,-18.76,10.53 ,15.23 
SI,Mud crab,-18.57,10.58 ,15.10 
SI,Mud crab,-19.20,10.38 ,14.67 
SI,Mud crab,-18.48,11.03 ,15.08 
SI,Mud crab,-18.67,10.47 ,14.43 
SI,Mud crab,-18.22,10.35 ,14.68 
