Species,d13C,d15N,d34S
Oyster,-19.08,8.2,17.06
Oyster,-18.83,8.32,16.84
Oyster,-18.87,7.33,15.28
Oyster,-18.88,7.31,16.69
Oyster,-19.14,7.76,17.28
Oyster,-18.61,7.25,15.78
Oyster,-18.52,7.18,16.96
Oyster,-18.77,7.58,16.15
Oyster,-18.45,7.13,16.41
Oyster,-18.96,7.86,16.5
Mud crab,-17.77,9.95,14.76
Mud crab,-15.48,8.97,13.32
Mud crab,-14.81,8.14,11.8
Mud crab,-17.62,9.77,14.43
Mud crab,-15.75,8.25,14.81
Mud crab,-15.86,7.66,17.21
Mud crab,-11.14,4.65,15.92
Mud crab,-15.35,6.62,15.97
