Species,d13C,d15N,d34S
Oyster,-20.30,8.16 ,15.75 
Oyster,-19.63,8.48 ,16.21 
Oyster,-20.25,8.33 ,16.39 
Oyster,-20.82,8.90 ,15.94 
Oyster,-19.77,8.62 ,16.75 
Oyster,-19.95,7.99 ,16.11 
Oyster,-20.14,8.50 ,15.35 
Oyster,-19.98,8.14 ,16.82 
Oyster,-20.53,8.66 ,15.26 
Mud crab,-18.54,10.08 ,15.77 
Mud crab,-18.59,9.69 ,15.82 
Mud crab,-18.97,10.44 ,15.77 
Mud crab,-18.74,10.64 ,14.38 
Mud crab,-18.76,10.53 ,15.23 
Mud crab,-18.57,10.58 ,15.10 
Mud crab,-19.20,10.38 ,14.67 
Mud crab,-18.48,11.03 ,15.08 
Mud crab,-18.67,10.47 ,14.43 
Mud crab,-18.22,10.35 ,14.68 
