Site,Source,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
NC,Spartina,-14.905188,0.3319043,3.09697383,1.29031824,-3.565359,6.58758376,10
NC,POM,-20.679932,1.38746242,5.58823696,0.33582003,11.5372457,9.29761415,3
NC,Benthic algae,-18.2,1.58,3.51,1.28,-3.54,6.71,45
NIWB,Spartina,-14.941517,0.24215736,5.97620756,0.94584078,6.29519138,6.89190717,10
NIWB,POM,-21.143793,0.40801844,4.016682,0.22213682,-15.298884,0.98827571,5
NIWB,Benthic algae,-22.7,1.7,5.2,0.5,-7.1,4,4
SI,Spartina,-14.930839,0.28133201,5.36042012,0.80896616,2.86363474,6.02093187,10
SI,POM,-21.61134,0.29966504,4.5870961,0.20117244,-5.7621433,2.23060819,10
SI,Benthic algae,-17.567843,0.92665355,3.57959933,1.17544971,3.48341505,9.67598945,8
GTM,Spartina,-14.628663,0.16775075,6.33072283,0.67785889,7.57309099,8.32186983,10
GTM,POM,-22.583637,0.27560613,3.9002148,0.63458988,4.97742442,3.20464026,7
GTM,Benthic algae,-18.338312,0.29164085,2.80194116,0.63795882,-13.691285,4.6900375,6
