Species,Source,Mean,SD,2.50%,5%,25%,50%,75%,95%,97.50%
GTM-Blue crab,Benthic algae,0.081,0.047,0.016,0.02,0.046,0.072,0.108,0.173,0.192
GTM-Mud crab,Benthic algae,0.024,0.018,0.002,0.003,0.01,0.019,0.033,0.058,0.067
GTM-Oyster,Benthic algae,0.009,0.007,0.001,0.001,0.004,0.007,0.012,0.023,0.027
GTM-Pinfish,Benthic algae,0.067,0.05,0.004,0.007,0.026,0.057,0.099,0.163,0.182
GTM-White shrimp,Benthic algae,0.335,0.042,0.246,0.265,0.31,0.338,0.363,0.399,0.412
GTM-Blue crab,POM,0.843,0.104,0.552,0.631,0.8,0.868,0.916,0.957,0.968
GTM-Mud crab,POM,0.929,0.051,0.806,0.83,0.899,0.942,0.969,0.99,0.993
GTM-Oyster,POM,0.977,0.02,0.921,0.937,0.969,0.982,0.99,0.996,0.997
GTM-Pinfish,POM,0.889,0.064,0.749,0.773,0.845,0.895,0.94,0.981,0.987
GTM-White shrimp,POM,0.633,0.037,0.563,0.573,0.608,0.633,0.658,0.695,0.707
GTM-Blue crab,Spartina,0.076,0.091,0.001,0.003,0.016,0.04,0.099,0.276,0.353
GTM-Mud crab,Spartina,0.047,0.048,0,0.001,0.008,0.029,0.073,0.147,0.17
GTM-Oyster,Spartina,0.015,0.019,0,0,0.003,0.008,0.019,0.053,0.067
GTM-Pinfish,Spartina,0.044,0.045,0.001,0.001,0.009,0.028,0.064,0.138,0.167
GTM-White shrimp,Spartina,0.032,0.026,0.001,0.003,0.012,0.026,0.045,0.082,0.095
SI-Blue crab,Benthic algae,0.558,0.062,0.443,0.458,0.515,0.556,0.596,0.66,0.688
SI-Mud crab,Benthic algae,0.748,0.077,0.609,0.625,0.694,0.745,0.799,0.879,0.909
SI-Oyster,Benthic algae,0.81,0.078,0.663,0.679,0.753,0.809,0.869,0.939,0.957
SI-Pinfish,Benthic algae,0.565,0.061,0.455,0.469,0.523,0.564,0.605,0.673,0.694
SI-White shrimp,Benthic algae,0.41,0.062,0.294,0.309,0.369,0.41,0.451,0.513,0.533
SI-Blue crab,POM,0.405,0.063,0.274,0.295,0.365,0.408,0.449,0.502,0.522
SI-Mud crab,POM,0.234,0.077,0.074,0.101,0.181,0.236,0.286,0.359,0.377
SI-Oyster,POM,0.175,0.078,0.033,0.048,0.118,0.177,0.231,0.306,0.325
SI-Pinfish,POM,0.416,0.063,0.288,0.308,0.376,0.42,0.461,0.514,0.528
SI-White shrimp,POM,0.5,0.064,0.375,0.392,0.457,0.501,0.546,0.601,0.616
SI-Blue crab,Spartina,0.038,0.038,0.001,0.001,0.01,0.026,0.052,0.118,0.145
SI-Mud crab,Spartina,0.019,0.022,0,0.001,0.004,0.011,0.025,0.066,0.081
SI-Oyster,Spartina,0.014,0.016,0,0,0.003,0.009,0.02,0.046,0.058
SI-Pinfish,Spartina,0.018,0.019,0,0.001,0.004,0.012,0.026,0.056,0.069
SI-White shrimp,Spartina,0.09,0.078,0,0.001,0.016,0.076,0.15,0.231,0.252
NI-Blue crab,Benthic algae,0.729,0.069,0.583,0.61,0.685,0.731,0.775,0.841,0.864
NI-Mud crab,Benthic algae,0.856,0.066,0.711,0.739,0.813,0.861,0.903,0.957,0.969
NI-Oyster,Benthic algae,0.933,0.043,0.825,0.849,0.91,0.942,0.965,0.986,0.99
