"","Site","Species","Source","Contr"
"1","GTM","Mud crab","Benthic algae",0.00316549807543846
"2","GTM","Mud crab","Benthic algae",0.0239248252361016
"3","GTM","Mud crab","Benthic algae",0.0332417752963191
"4","GTM","Mud crab","Benthic algae",0.0242640577643899
"5","GTM","Mud crab","Benthic algae",0.0110557667886998
"6","GTM","Mud crab","Benthic algae",0.0243406383635175
"7","GTM","Mud crab","Benthic algae",0.00856735081853274
"8","GTM","Mud crab","Benthic algae",0.0198023214988445
"9","GTM","Mud crab","Benthic algae",0.00581645076761613
"10","GTM","Mud crab","Benthic algae",0.020900108807721
"11","GTM","Mud crab","Benthic algae",0.006118551780916
"12","GTM","Mud crab","Benthic algae",0.0134450208934036
"13","GTM","Mud crab","Benthic algae",0.0174794179570664
"14","GTM","Mud crab","Benthic algae",0.00776027967725054
"15","GTM","Mud crab","Benthic algae",0.0155679193403315
"16","GTM","Mud crab","Benthic algae",0.0188935091880201
"17","GTM","Mud crab","Benthic algae",0.0274970356572538
"18","GTM","Mud crab","Benthic algae",0.0262781057295056
"19","GTM","Mud crab","Benthic algae",0.0103353091013518
"20","GTM","Mud crab","Benthic algae",0.0219052507340204
"21","GTM","Mud crab","Benthic algae",0.00818993475241211
"22","GTM","Mud crab","Benthic algae",0.0111416094143237
"23","GTM","Mud crab","Benthic algae",0.0069792747124228
"24","GTM","Mud crab","Benthic algae",0.0161632279782995
"25","GTM","Mud crab","Benthic algae",0.00239941987833437
"26","GTM","Mud crab","Benthic algae",0.0247601092526146
"27","GTM","Mud crab","Benthic algae",0.0191485926355675
"28","GTM","Mud crab","Benthic algae",0.00561244608386776
"29","GTM","Mud crab","Benthic algae",0.00709989132230396
"30","GTM","Mud crab","Benthic algae",0.0122786100780542
"31","GTM","Mud crab","Benthic algae",0.0173543638316139
"32","GTM","Mud crab","Benthic algae",0.014011730453013
"33","GTM","Mud crab","Benthic algae",0.00616487719744346
"34","GTM","Mud crab","Benthic algae",0.0143738272099693
"35","GTM","Mud crab","Benthic algae",0.0078088319086968
"36","GTM","Mud crab","Benthic algae",0.0240365909072532
"37","GTM","Mud crab","Benthic algae",0.0117120818149615
"38","GTM","Mud crab","Benthic algae",0.00526195995774324
"39","GTM","Mud crab","Benthic algae",0.0139019692290146
"40","GTM","Mud crab","Benthic algae",0.010940652713432
"41","GTM","Mud crab","Benthic algae",0.00913416218429602
"42","GTM","Mud crab","Benthic algae",0.00100753926671369
"43","GTM","Mud crab","Benthic algae",0.0179282761154966
"44","GTM","Mud crab","Benthic algae",0.0155131726501987
"45","GTM","Mud crab","Benthic algae",0.00964686869949345
"46","GTM","Mud crab","Benthic algae",0.0278697651025982
"47","GTM","Mud crab","Benthic algae",8.86608406571752e-05
"48","GTM","Mud crab","Benthic algae",0.0111301710619855
"49","GTM","Mud crab","Benthic algae",0.0157636714974669
"50","GTM","Mud crab","Benthic algae",0.00188964147961103
"51","GTM","Mud crab","Benthic algae",0.00648622472702289
"52","GTM","Mud crab","Benthic algae",0.022234475990488
"53","GTM","Mud crab","Benthic algae",0.00888830813746876
"54","GTM","Mud crab","Benthic algae",0.00850057659035156
"55","GTM","Mud crab","Benthic algae",0.00332816849478486
"56","GTM","Mud crab","Benthic algae",0.0101182880157194
"57","GTM","Mud crab","Benthic algae",0.0023168473168512
"58","GTM","Mud crab","Benthic algae",0.000808616012536125
"59","GTM","Mud crab","Benthic algae",0.0104320258986354
"60","GTM","Mud crab","Benthic algae",0.00267582998713911
"61","GTM","Mud crab","Benthic algae",0.0277306400444171
"62","GTM","Mud crab","Benthic algae",0.0127948622758309
"63","GTM","Mud crab","Benthic algae",0.0187856873227946
"64","GTM","Mud crab","Benthic algae",0.00992607996781489
"65","GTM","Mud crab","Benthic algae",0.0159272198716432
"66","GTM","Mud crab","Benthic algae",0.0127406319687015
"67","GTM","Mud crab","Benthic algae",0.0116001328219645
"68","GTM","Mud crab","Benthic algae",0.021371720188899
"69","GTM","Mud crab","Benthic algae",0.00440475302748259
"70","GTM","Mud crab","Benthic algae",0.0167996293076883
"71","GTM","Mud crab","Benthic algae",0.0100684445134262
"72","GTM","Mud crab","Benthic algae",0.00426488780904255
"73","GTM","Mud crab","Benthic algae",0.00339123479751537
"74","GTM","Mud crab","Benthic algae",0.0214064059447687
"75","GTM","Mud crab","Benthic algae",0.0134426520026371
"76","GTM","Mud crab","Benthic algae",0.00541369652924267
"77","GTM","Mud crab","Benthic algae",0.00396659914704278
"78","GTM","Mud crab","Benthic algae",0.0279985228761777
"79","GTM","Mud crab","Benthic algae",0.00924220371572357
"80","GTM","Mud crab","Benthic algae",0.000447231496517806
"81","GTM","Mud crab","Benthic algae",0.0100584024494896
"82","GTM","Mud crab","Benthic algae",0.0169337773084278
"83","GTM","Mud crab","Benthic algae",0.021767192421479
"84","GTM","Mud crab","Benthic algae",0.00384560230173094
"85","GTM","Mud crab","Benthic algae",0.00605695435616228
"86","GTM","Mud crab","Benthic algae",0.0109363769192245
"87","GTM","Mud crab","Benthic algae",0.00356234874046049
"88","GTM","Mud crab","Benthic algae",0.0114721252205471
"89","GTM","Mud crab","Benthic algae",0.00224092589705111
"90","GTM","Mud crab","Benthic algae",0.0259574389961461
"91","GTM","Mud crab","Benthic algae",0.0153109976550565
"92","GTM","Mud crab","Benthic algae",0.0106382753757449
"93","GTM","Mud crab","Benthic algae",0.011219269848843
"94","GTM","Mud crab","Benthic algae",0.00764520652414541
"95","GTM","Mud crab","Benthic algae",0.0338641671332604
"96","GTM","Mud crab","Benthic algae",0.00510866113167387
"97","GTM","Mud crab","Benthic algae",0.0140699422515244
"98","GTM","Mud crab","Benthic algae",0.00181069926779424
"99","GTM","Mud crab","Benthic algae",0.0253811463812211
"100","GTM","Mud crab","Benthic algae",0.0221549803033171
"101","GTM","Oyster","Benthic algae",0.00519423189892728
"102","GTM","Oyster","Benthic algae",0.0125981163421837
"103","GTM","Oyster","Benthic algae",0.0163476693729157
"104","GTM","Oyster","Benthic algae",0.00603963603013063
"105","GTM","Oyster","Benthic algae",0.00505583769205697
"106","GTM","Oyster","Benthic algae",0.00173399028810844
"107","GTM","Oyster","Benthic algae",0.00200778766753218
"108","GTM","Oyster","Benthic algae",0.0046591691856893
"109","GTM","Oyster","Benthic algae",0.0148135494576108
"110","GTM","Oyster","Benthic algae",0.00253041929881472
"111","GTM","Oyster","Benthic algae",0.00931031543603122
"112","GTM","Oyster","Benthic algae",0.00266079162204589
"113","GTM","Oyster","Benthic algae",0.0108356776226763
"114","GTM","Oyster","Benthic algae",0.00725212530690488
"115","GTM","Oyster","Benthic algae",0.00427357889603496
"116","GTM","Oyster","Benthic algae",0.00826533328215785
"117","GTM","Oyster","Benthic algae",0.00896604533252942
"118","GTM","Oyster","Benthic algae",0.000116903958417182
"119","GTM","Oyster","Benthic algae",0.00532006639284513
"120","GTM","Oyster","Benthic algae",0.00309827974456247
"121","GTM","Oyster","Benthic algae",0.0131948775828926
"122","GTM","Oyster","Benthic algae",0.000392819521143563
"123","GTM","Oyster","Benthic algae",0.0123420087557998
"124","GTM","Oyster","Benthic algae",0.0101243383369888
"125","GTM","Oyster","Benthic algae",0.0066624179849201
"126","GTM","Oyster","Benthic algae",0.000903244561168637
"127","GTM","Oyster","Benthic algae",0.0020717898294552
"128","GTM","Oyster","Benthic algae",0.0133831342090826
"129","GTM","Oyster","Benthic algae",0.0109146556344939
"130","GTM","Oyster","Benthic algae",0.0062506400685125
"131","GTM","Oyster","Benthic algae",0.00745435041854887
"132","GTM","Oyster","Benthic algae",0.00264111327243096
"133","GTM","Oyster","Benthic algae",0.000889205252244748
"134","GTM","Oyster","Benthic algae",0.00482225463052522
"135","GTM","Oyster","Benthic algae",0.00331740682116348
"136","GTM","Oyster","Benthic algae",0.00846198596518095
"137","GTM","Oyster","Benthic algae",0.00872368293873795
"138","GTM","Oyster","Benthic algae",0.0124114318153241
"139","GTM","Oyster","Benthic algae",0.00806768002960412
"140","GTM","Oyster","Benthic algae",0.0106556815798294
"141","GTM","Oyster","Benthic algae",0.00477107947072299
"142","GTM","Oyster","Benthic algae",0.00256623132972577
"143","GTM","Oyster","Benthic algae",0.00478380708442124
"144","GTM","Oyster","Benthic algae",0.00193414789496412
"145","GTM","Oyster","Benthic algae",0.00768561643519231
